frame,timestamp
1,2025-06-20 14:27:43.192
2,2025-06-20 14:27:43.288
3,2025-06-20 14:27:43.394
4,2025-06-20 14:27:43.487
5,2025-06-20 14:27:43.596
6,2025-06-20 14:27:43.687
7,2025-06-20 14:27:43.797
8,2025-06-20 14:27:43.909
9,2025-06-20 14:27:43.992
10,2025-06-20 14:27:44.102
11,2025-06-20 14:27:44.192
12,2025-06-20 14:27:44.296
13,2025-06-20 14:27:44.382
14,2025-06-20 14:27:44.487
15,2025-06-20 14:27:44.587
16,2025-06-20 14:27:44.684
17,2025-06-20 14:27:44.787
18,2025-06-20 14:27:44.889
19,2025-06-20 14:27:45.000
20,2025-06-20 14:27:45.095
21,2025-06-20 14:27:45.186
22,2025-06-20 14:27:45.283
23,2025-06-20 14:27:45.387
24,2025-06-20 14:27:45.483
25,2025-06-20 14:27:45.581
26,2025-06-20 14:27:45.691
27,2025-06-20 14:27:45.798
28,2025-06-20 14:27:45.903
29,2025-06-20 14:27:45.988
30,2025-06-20 14:27:46.086
31,2025-06-20 14:27:46.184
32,2025-06-20 14:27:46.284
33,2025-06-20 14:27:46.392
34,2025-06-20 14:27:46.495
35,2025-06-20 14:27:46.593
36,2025-06-20 14:27:46.697
37,2025-06-20 14:27:46.793
38,2025-06-20 14:27:46.896
39,2025-06-20 14:27:47.002
40,2025-06-20 14:27:47.089
41,2025-06-20 14:27:47.184
42,2025-06-20 14:27:47.286
43,2025-06-20 14:27:47.387
44,2025-06-20 14:27:47.486
45,2025-06-20 14:27:47.585
46,2025-06-20 14:27:47.684
47,2025-06-20 14:27:47.819
48,2025-06-20 14:27:47.890
49,2025-06-20 14:27:47.982
50,2025-06-20 14:27:48.088
51,2025-06-20 14:27:48.195
52,2025-06-20 14:27:48.284
53,2025-06-20 14:27:48.385
54,2025-06-20 14:27:48.485
55,2025-06-20 14:27:48.588
56,2025-06-20 14:27:48.691
57,2025-06-20 14:27:48.787
58,2025-06-20 14:27:48.892
59,2025-06-20 14:27:48.998
60,2025-06-20 14:27:49.095
61,2025-06-20 14:27:49.203
62,2025-06-20 14:27:49.287
63,2025-06-20 14:27:49.390
64,2025-06-20 14:27:49.485
65,2025-06-20 14:27:49.585
66,2025-06-20 14:27:49.686
67,2025-06-20 14:27:49.785
68,2025-06-20 14:27:49.886
69,2025-06-20 14:27:49.991
70,2025-06-20 14:27:50.093
71,2025-06-20 14:27:50.190
72,2025-06-20 14:27:50.293
73,2025-06-20 14:27:50.390
74,2025-06-20 14:27:50.487
75,2025-06-20 14:27:50.594
76,2025-06-20 14:27:50.703
77,2025-06-20 14:27:50.799
78,2025-06-20 14:27:50.904
79,2025-06-20 14:27:50.988
80,2025-06-20 14:27:51.093
81,2025-06-20 14:27:51.187
82,2025-06-20 14:27:51.287
83,2025-06-20 14:27:51.384
84,2025-06-20 14:27:51.501
85,2025-06-20 14:27:51.602
86,2025-06-20 14:27:51.692
87,2025-06-20 14:27:51.798
88,2025-06-20 14:27:51.889
89,2025-06-20 14:27:51.987
90,2025-06-20 14:27:52.085
91,2025-06-20 14:27:52.185
92,2025-06-20 14:27:52.287
93,2025-06-20 14:27:52.386
94,2025-06-20 14:27:52.487
95,2025-06-20 14:27:52.591
96,2025-06-20 14:27:52.687
97,2025-06-20 14:27:52.788
98,2025-06-20 14:27:52.887
99,2025-06-20 14:27:52.988
100,2025-06-20 14:27:53.094
101,2025-06-20 14:27:53.199
102,2025-06-20 14:27:53.288
103,2025-06-20 14:27:53.392
104,2025-06-20 14:27:53.489
105,2025-06-20 14:27:53.586
106,2025-06-20 14:27:53.684
107,2025-06-20 14:27:53.795
108,2025-06-20 14:27:53.892
109,2025-06-20 14:27:53.991
110,2025-06-20 14:27:54.105
111,2025-06-20 14:27:54.198
112,2025-06-20 14:27:54.292
113,2025-06-20 14:27:54.402
114,2025-06-20 14:27:54.497
115,2025-06-20 14:27:54.599
116,2025-06-20 14:27:54.707
