frame,timestamp
1,2025-06-20 13:42:22.362
2,2025-06-20 13:42:22.486
3,2025-06-20 13:42:22.596
4,2025-06-20 13:42:22.727
5,2025-06-20 13:42:22.833
6,2025-06-20 13:42:22.936
7,2025-06-20 13:42:23.054
8,2025-06-20 13:42:23.188
9,2025-06-20 13:42:23.295
10,2025-06-20 13:42:23.394
11,2025-06-20 13:42:23.518
12,2025-06-20 13:42:23.624
13,2025-06-20 13:42:23.741
14,2025-06-20 13:42:23.843
15,2025-06-20 13:42:23.945
16,2025-06-20 13:42:24.048
17,2025-06-20 13:42:24.151
18,2025-06-20 13:42:24.259
19,2025-06-20 13:42:24.364
20,2025-06-20 13:42:24.471
21,2025-06-20 13:42:24.599
22,2025-06-20 13:42:24.738
23,2025-06-20 13:42:24.850
24,2025-06-20 13:42:24.950
25,2025-06-20 13:42:25.055
26,2025-06-20 13:42:25.166
27,2025-06-20 13:42:25.272
28,2025-06-20 13:42:25.386
29,2025-06-20 13:42:25.491
30,2025-06-20 13:42:25.594
31,2025-06-20 13:42:25.721
32,2025-06-20 13:42:25.827
33,2025-06-20 13:42:25.946
34,2025-06-20 13:42:26.047
35,2025-06-20 13:42:26.158
36,2025-06-20 13:42:26.350
37,2025-06-20 13:42:26.450
38,2025-06-20 13:42:26.560
39,2025-06-20 13:42:26.672
40,2025-06-20 13:42:26.779
41,2025-06-20 13:42:26.881
42,2025-06-20 13:42:27.009
43,2025-06-20 13:42:27.127
44,2025-06-20 13:42:27.228
45,2025-06-20 13:42:27.396
46,2025-06-20 13:42:27.520
47,2025-06-20 13:42:27.627
48,2025-06-20 13:42:27.733
49,2025-06-20 13:42:27.851
50,2025-06-20 13:42:27.957
51,2025-06-20 13:42:28.060
52,2025-06-20 13:42:28.175
53,2025-06-20 13:42:28.281
54,2025-06-20 13:42:28.388
55,2025-06-20 13:42:28.496
56,2025-06-20 13:42:28.619
57,2025-06-20 13:42:28.731
58,2025-06-20 13:42:28.849
59,2025-06-20 13:42:28.954
60,2025-06-20 13:42:29.063
61,2025-06-20 13:42:29.172
62,2025-06-20 13:42:29.282
63,2025-06-20 13:42:29.390
64,2025-06-20 13:42:29.520
65,2025-06-20 13:42:29.623
66,2025-06-20 13:42:29.734
67,2025-06-20 13:42:29.845
68,2025-06-20 13:42:29.945
69,2025-06-20 13:42:30.054
70,2025-06-20 13:42:30.167
71,2025-06-20 13:42:30.271
72,2025-06-20 13:42:30.377
73,2025-06-20 13:42:30.485
74,2025-06-20 13:42:30.600
75,2025-06-20 13:42:30.729
76,2025-06-20 13:42:30.849
77,2025-06-20 13:42:30.948
78,2025-06-20 13:42:31.055
79,2025-06-20 13:42:31.168
80,2025-06-20 13:42:31.282
81,2025-06-20 13:42:31.390
82,2025-06-20 13:42:31.524
83,2025-06-20 13:42:31.632
84,2025-06-20 13:42:31.730
85,2025-06-20 13:42:31.829
86,2025-06-20 13:42:31.943
87,2025-06-20 13:42:32.060
88,2025-06-20 13:42:32.151
89,2025-06-20 13:42:32.270
90,2025-06-20 13:42:32.386
91,2025-06-20 13:42:32.502
92,2025-06-20 13:42:32.623
93,2025-06-20 13:42:32.729
94,2025-06-20 13:42:32.850
95,2025-06-20 13:42:32.964
96,2025-06-20 13:42:33.076
97,2025-06-20 13:42:33.192
98,2025-06-20 13:42:33.290
99,2025-06-20 13:42:33.477
100,2025-06-20 13:42:33.583
101,2025-06-20 13:42:33.682
102,2025-06-20 13:42:33.816
103,2025-06-20 13:42:33.934
104,2025-06-20 13:42:34.063
105,2025-06-20 13:42:34.155
106,2025-06-20 13:42:34.264
107,2025-06-20 13:42:34.369
108,2025-06-20 13:42:34.471
109,2025-06-20 13:42:34.578
110,2025-06-20 13:42:34.691
111,2025-06-20 13:42:34.836
112,2025-06-20 13:42:34.955
113,2025-06-20 13:42:35.070
114,2025-06-20 13:42:35.175
115,2025-06-20 13:42:35.284
116,2025-06-20 13:42:35.386
117,2025-06-20 13:42:35.511
118,2025-06-20 13:42:35.628
119,2025-06-20 13:42:35.735
120,2025-06-20 13:42:35.846
121,2025-06-20 13:42:35.950
