frame,timestamp
1,2025-06-19 15:16:30.047
2,2025-06-19 15:16:30.145
3,2025-06-19 15:16:30.248
4,2025-06-19 15:16:30.347
5,2025-06-19 15:16:30.444
6,2025-06-19 15:16:30.555
7,2025-06-19 15:16:30.646
8,2025-06-19 15:16:30.748
9,2025-06-19 15:16:30.846
10,2025-06-19 15:16:30.945
11,2025-06-19 15:16:31.045
12,2025-06-19 15:16:31.142
13,2025-06-19 15:16:31.247
14,2025-06-19 15:16:31.350
15,2025-06-19 15:16:31.445
16,2025-06-19 15:16:31.562
17,2025-06-19 15:16:31.660
18,2025-06-19 15:16:31.752
19,2025-06-19 15:16:31.845
20,2025-06-19 15:16:31.941
21,2025-06-19 15:16:32.046
22,2025-06-19 15:16:32.144
23,2025-06-19 15:16:32.251
24,2025-06-19 15:16:32.365
25,2025-06-19 15:16:32.444
26,2025-06-19 15:16:32.546
27,2025-06-19 15:16:32.642
28,2025-06-19 15:16:32.743
29,2025-06-19 15:16:32.848
30,2025-06-19 15:16:32.945
31,2025-06-19 15:16:33.044
32,2025-06-19 15:16:33.146
33,2025-06-19 15:16:33.248
34,2025-06-19 15:16:33.346
35,2025-06-19 15:16:33.445
36,2025-06-19 15:16:33.551
37,2025-06-19 15:16:33.643
38,2025-06-19 15:16:33.744
39,2025-06-19 15:16:33.843
40,2025-06-19 15:16:33.945
41,2025-06-19 15:16:34.051
42,2025-06-19 15:16:34.150
43,2025-06-19 15:16:34.248
44,2025-06-19 15:16:34.354
45,2025-06-19 15:16:34.467
46,2025-06-19 15:16:34.546
47,2025-06-19 15:16:34.641
48,2025-06-19 15:16:34.743
49,2025-06-19 15:16:34.847
50,2025-06-19 15:16:34.945
51,2025-06-19 15:16:35.047
52,2025-06-19 15:16:35.157
53,2025-06-19 15:16:35.256
54,2025-06-19 15:16:35.356
55,2025-06-19 15:16:35.459
56,2025-06-19 15:16:35.581
57,2025-06-19 15:16:35.643
58,2025-06-19 15:16:35.740
59,2025-06-19 15:16:35.845
60,2025-06-19 15:16:35.944
61,2025-06-19 15:16:36.058
62,2025-06-19 15:16:36.154
63,2025-06-19 15:16:36.259
64,2025-06-19 15:16:36.361
65,2025-06-19 15:16:36.445
66,2025-06-19 15:16:36.548
67,2025-06-19 15:16:36.643
68,2025-06-19 15:16:36.747
69,2025-06-19 15:16:36.841
70,2025-06-19 15:16:36.947
71,2025-06-19 15:16:37.050
72,2025-06-19 15:16:37.146
73,2025-06-19 15:16:37.253
74,2025-06-19 15:16:37.361
75,2025-06-19 15:16:37.447
76,2025-06-19 15:16:37.546
77,2025-06-19 15:16:37.644
78,2025-06-19 15:16:37.745
79,2025-06-19 15:16:37.844
80,2025-06-19 15:16:37.945
81,2025-06-19 15:16:38.041
82,2025-06-19 15:16:38.148
83,2025-06-19 15:16:38.251
84,2025-06-19 15:16:38.344
85,2025-06-19 15:16:38.444
86,2025-06-19 15:16:38.544
87,2025-06-19 15:16:38.643
88,2025-06-19 15:16:38.749
89,2025-06-19 15:16:38.854
90,2025-06-19 15:16:38.959
91,2025-06-19 15:16:39.058
92,2025-06-19 15:16:39.139
93,2025-06-19 15:16:39.278
94,2025-06-19 15:16:39.361
95,2025-06-19 15:16:39.452
96,2025-06-19 15:16:39.546
97,2025-06-19 15:16:39.647
98,2025-06-19 15:16:39.745
99,2025-06-19 15:16:39.843
100,2025-06-19 15:16:39.950
101,2025-06-19 15:16:40.051
102,2025-06-19 15:16:40.158
103,2025-06-19 15:16:40.261
104,2025-06-19 15:16:40.341
105,2025-06-19 15:16:40.452
106,2025-06-19 15:16:40.547
107,2025-06-19 15:16:40.645
108,2025-06-19 15:16:40.745
109,2025-06-19 15:16:40.847
110,2025-06-19 15:16:40.951
111,2025-06-19 15:16:41.063
112,2025-06-19 15:16:41.155
113,2025-06-19 15:16:41.260
114,2025-06-19 15:16:41.359
115,2025-06-19 15:16:41.439
116,2025-06-19 15:16:41.548
117,2025-06-19 15:16:41.645
118,2025-06-19 15:16:41.749
119,2025-06-19 15:16:41.845
120,2025-06-19 15:16:41.944
121,2025-06-19 15:16:42.050
122,2025-06-19 15:16:42.154
123,2025-06-19 15:16:42.250
124,2025-06-19 15:16:42.349
125,2025-06-19 15:16:42.445
126,2025-06-19 15:16:42.542
127,2025-06-19 15:16:42.642
128,2025-06-19 15:16:42.748
129,2025-06-19 15:16:42.858
130,2025-06-19 15:16:42.951
131,2025-06-19 15:16:43.053
132,2025-06-19 15:16:43.161
133,2025-06-19 15:16:43.249
134,2025-06-19 15:16:43.346
135,2025-06-19 15:16:43.450
136,2025-06-19 15:16:43.550
137,2025-06-19 15:16:43.651
138,2025-06-19 15:16:43.747
139,2025-06-19 15:16:43.852
140,2025-06-19 15:16:43.954
141,2025-06-19 15:16:44.068
142,2025-06-19 15:16:44.146
143,2025-06-19 15:16:44.248
144,2025-06-19 15:16:44.345
145,2025-06-19 15:16:44.451
146,2025-06-19 15:16:44.550
147,2025-06-19 15:16:44.653
148,2025-06-19 15:16:44.751
149,2025-06-19 15:16:44.843
150,2025-06-19 15:16:44.956
151,2025-06-19 15:16:45.084
152,2025-06-19 15:16:45.144
153,2025-06-19 15:16:45.248
154,2025-06-19 15:16:45.355
155,2025-06-19 15:16:45.459
156,2025-06-19 15:16:45.562
157,2025-06-19 15:16:45.657
158,2025-06-19 15:16:45.745
159,2025-06-19 15:16:45.848
