frame,timestamp
1,2025-06-20 13:10:59.616
2,2025-06-20 13:10:59.699
3,2025-06-20 13:10:59.803
4,2025-06-20 13:10:59.907
5,2025-06-20 13:10:59.992
6,2025-06-20 13:11:00.096
7,2025-06-20 13:11:00.201
8,2025-06-20 13:11:00.296
9,2025-06-20 13:11:00.406
10,2025-06-20 13:11:00.503
11,2025-06-20 13:11:00.593
12,2025-06-20 13:11:00.693
13,2025-06-20 13:11:00.792
14,2025-06-20 13:11:00.890
15,2025-06-20 13:11:00.990
16,2025-06-20 13:11:01.088
17,2025-06-20 13:11:01.188
18,2025-06-20 13:11:01.290
19,2025-06-20 13:11:01.395
20,2025-06-20 13:11:01.488
21,2025-06-20 13:11:01.598
22,2025-06-20 13:11:01.690
23,2025-06-20 13:11:01.818
24,2025-06-20 13:11:01.891
25,2025-06-20 13:11:01.990
26,2025-06-20 13:11:02.091
27,2025-06-20 13:11:02.191
28,2025-06-20 13:11:02.292
29,2025-06-20 13:11:02.393
30,2025-06-20 13:11:02.494
31,2025-06-20 13:11:02.601
32,2025-06-20 13:11:02.700
33,2025-06-20 13:11:02.791
34,2025-06-20 13:11:02.893
35,2025-06-20 13:11:02.987
36,2025-06-20 13:11:03.090
37,2025-06-20 13:11:03.189
38,2025-06-20 13:11:03.295
39,2025-06-20 13:11:03.399
40,2025-06-20 13:11:03.490
41,2025-06-20 13:11:03.591
42,2025-06-20 13:11:03.691
43,2025-06-20 13:11:03.790
44,2025-06-20 13:11:03.894
45,2025-06-20 13:11:04.000
46,2025-06-20 13:11:04.101
47,2025-06-20 13:11:04.195
48,2025-06-20 13:11:04.300
49,2025-06-20 13:11:04.411
50,2025-06-20 13:11:04.490
51,2025-06-20 13:11:04.590
52,2025-06-20 13:11:04.693
53,2025-06-20 13:11:04.801
54,2025-06-20 13:11:04.890
55,2025-06-20 13:11:04.997
56,2025-06-20 13:11:05.094
57,2025-06-20 13:11:05.199
58,2025-06-20 13:11:05.302
59,2025-06-20 13:11:05.403
60,2025-06-20 13:11:05.492
61,2025-06-20 13:11:05.593
62,2025-06-20 13:11:05.693
63,2025-06-20 13:11:05.796
64,2025-06-20 13:11:05.891
65,2025-06-20 13:11:05.993
66,2025-06-20 13:11:06.093
67,2025-06-20 13:11:06.203
68,2025-06-20 13:11:06.293
69,2025-06-20 13:11:06.406
70,2025-06-20 13:11:06.495
71,2025-06-20 13:11:06.590
72,2025-06-20 13:11:06.686
73,2025-06-20 13:11:06.791
74,2025-06-20 13:11:06.895
75,2025-06-20 13:11:06.999
76,2025-06-20 13:11:07.102
77,2025-06-20 13:11:07.204
78,2025-06-20 13:11:07.303
79,2025-06-20 13:11:07.397
80,2025-06-20 13:11:07.501
81,2025-06-20 13:11:07.591
82,2025-06-20 13:11:07.697
83,2025-06-20 13:11:07.813
84,2025-06-20 13:11:07.889
85,2025-06-20 13:11:07.995
