frame,timestamp
1,2025-06-20 13:40:21.730
2,2025-06-20 13:40:21.821
3,2025-06-20 13:40:21.917
4,2025-06-20 13:40:22.019
5,2025-06-20 13:40:22.117
6,2025-06-20 13:40:22.239
7,2025-06-20 13:40:22.313
8,2025-06-20 13:40:22.423
9,2025-06-20 13:40:22.518
10,2025-06-20 13:40:22.622
11,2025-06-20 13:40:22.720
12,2025-06-20 13:40:22.819
13,2025-06-20 13:40:22.919
14,2025-06-20 13:40:23.024
15,2025-06-20 13:40:23.135
16,2025-06-20 13:40:23.232
17,2025-06-20 13:40:23.360
18,2025-06-20 13:40:23.424
19,2025-06-20 13:40:23.521
20,2025-06-20 13:40:23.618
21,2025-06-20 13:40:23.718
22,2025-06-20 13:40:23.819
23,2025-06-20 13:40:23.916
24,2025-06-20 13:40:24.018
25,2025-06-20 13:40:24.119
26,2025-06-20 13:40:24.218
27,2025-06-20 13:40:24.341
28,2025-06-20 13:40:24.422
29,2025-06-20 13:40:24.530
30,2025-06-20 13:40:24.625
31,2025-06-20 13:40:24.730
32,2025-06-20 13:40:24.815
33,2025-06-20 13:40:24.920
34,2025-06-20 13:40:25.026
35,2025-06-20 13:40:25.118
36,2025-06-20 13:40:25.220
37,2025-06-20 13:40:25.318
38,2025-06-20 13:40:25.417
39,2025-06-20 13:40:25.515
40,2025-06-20 13:40:25.619
41,2025-06-20 13:40:25.719
42,2025-06-20 13:40:25.825
43,2025-06-20 13:40:25.942
44,2025-06-20 13:40:26.028
45,2025-06-20 13:40:26.142
46,2025-06-20 13:40:26.216
47,2025-06-20 13:40:26.316
48,2025-06-20 13:40:26.414
49,2025-06-20 13:40:26.516
50,2025-06-20 13:40:26.617
51,2025-06-20 13:40:26.721
52,2025-06-20 13:40:26.825
53,2025-06-20 13:40:26.924
54,2025-06-20 13:40:27.018
55,2025-06-20 13:40:27.119
56,2025-06-20 13:40:27.217
57,2025-06-20 13:40:27.315
58,2025-06-20 13:40:27.418
59,2025-06-20 13:40:27.519
60,2025-06-20 13:40:27.618
61,2025-06-20 13:40:27.717
62,2025-06-20 13:40:27.823
63,2025-06-20 13:40:27.931
64,2025-06-20 13:40:28.046
65,2025-06-20 13:40:28.112
66,2025-06-20 13:40:28.216
67,2025-06-20 13:40:28.319
68,2025-06-20 13:40:28.415
69,2025-06-20 13:40:28.520
70,2025-06-20 13:40:28.641
71,2025-06-20 13:40:28.722
72,2025-06-20 13:40:28.832
73,2025-06-20 13:40:28.946
74,2025-06-20 13:40:29.025
75,2025-06-20 13:40:29.123
76,2025-06-20 13:40:29.220
77,2025-06-20 13:40:29.315
78,2025-06-20 13:40:29.433
79,2025-06-20 13:40:29.520
80,2025-06-20 13:40:29.617
81,2025-06-20 13:40:29.717
82,2025-06-20 13:40:29.820
83,2025-06-20 13:40:29.921
84,2025-06-20 13:40:30.021
85,2025-06-20 13:40:30.124
86,2025-06-20 13:40:30.234
87,2025-06-20 13:40:30.333
88,2025-06-20 13:40:30.447
89,2025-06-20 13:40:30.519
90,2025-06-20 13:40:30.616
91,2025-06-20 13:40:30.722
92,2025-06-20 13:40:30.822
93,2025-06-20 13:40:30.917
94,2025-06-20 13:40:31.022
95,2025-06-20 13:40:31.121
96,2025-06-20 13:40:31.233
97,2025-06-20 13:40:31.336
98,2025-06-20 13:40:31.423
99,2025-06-20 13:40:31.530
100,2025-06-20 13:40:31.629
101,2025-06-20 13:40:31.716
102,2025-06-20 13:40:31.816
103,2025-06-20 13:40:31.919
104,2025-06-20 13:40:32.017
105,2025-06-20 13:40:32.116
106,2025-06-20 13:40:32.219
107,2025-06-20 13:40:32.319
108,2025-06-20 13:40:32.423
109,2025-06-20 13:40:32.529
110,2025-06-20 13:40:32.628
111,2025-06-20 13:40:32.723
112,2025-06-20 13:40:32.818
113,2025-06-20 13:40:32.915
114,2025-06-20 13:40:33.022
115,2025-06-20 13:40:33.120
116,2025-06-20 13:40:33.220
117,2025-06-20 13:40:33.319
118,2025-06-20 13:40:33.418
119,2025-06-20 13:40:33.526
120,2025-06-20 13:40:33.628
121,2025-06-20 13:40:33.733
122,2025-06-20 13:40:33.829
123,2025-06-20 13:40:33.922
124,2025-06-20 13:40:34.020
125,2025-06-20 13:40:34.118
126,2025-06-20 13:40:34.213
127,2025-06-20 13:40:34.318
128,2025-06-20 13:40:34.421
129,2025-06-20 13:40:34.520
130,2025-06-20 13:40:34.628
131,2025-06-20 13:40:34.729
132,2025-06-20 13:40:34.830
133,2025-06-20 13:40:34.919
134,2025-06-20 13:40:35.017
135,2025-06-20 13:40:35.115
136,2025-06-20 13:40:35.221
137,2025-06-20 13:40:35.318
138,2025-06-20 13:40:35.425
139,2025-06-20 13:40:35.513
140,2025-06-20 13:40:35.617
141,2025-06-20 13:40:35.715
142,2025-06-20 13:40:35.818
143,2025-06-20 13:40:35.921
144,2025-06-20 13:40:36.019
