frame,timestamp
1,2025-06-20 13:01:49.563
2,2025-06-20 13:01:49.673
3,2025-06-20 13:01:49.759
4,2025-06-20 13:01:49.859
5,2025-06-20 13:01:49.965
6,2025-06-20 13:01:50.073
7,2025-06-20 13:01:50.167
8,2025-06-20 13:01:50.259
9,2025-06-20 13:01:50.359
10,2025-06-20 13:01:50.460
11,2025-06-20 13:01:50.560
12,2025-06-20 13:01:50.656
13,2025-06-20 13:01:50.761
14,2025-06-20 13:01:50.860
15,2025-06-20 13:01:50.965
16,2025-06-20 13:01:51.066
17,2025-06-20 13:01:51.155
18,2025-06-20 13:01:51.263
19,2025-06-20 13:01:51.360
20,2025-06-20 13:01:51.455
21,2025-06-20 13:01:51.555
22,2025-06-20 13:01:51.654
23,2025-06-20 13:01:51.759
24,2025-06-20 13:01:51.865
25,2025-06-20 13:01:51.963
26,2025-06-20 13:01:52.056
27,2025-06-20 13:01:52.153
28,2025-06-20 13:01:52.260
29,2025-06-20 13:01:52.362
30,2025-06-20 13:01:52.466
31,2025-06-20 13:01:52.575
32,2025-06-20 13:01:52.668
33,2025-06-20 13:01:52.779
34,2025-06-20 13:01:52.855
35,2025-06-20 13:01:52.959
36,2025-06-20 13:01:53.066
37,2025-06-20 13:01:53.159
38,2025-06-20 13:01:53.264
39,2025-06-20 13:01:53.380
40,2025-06-20 13:01:53.457
41,2025-06-20 13:01:53.594
42,2025-06-20 13:01:53.682
43,2025-06-20 13:01:53.763
44,2025-06-20 13:01:53.857
45,2025-06-20 13:01:53.962
46,2025-06-20 13:01:54.058
47,2025-06-20 13:01:54.156
48,2025-06-20 13:01:54.258
49,2025-06-20 13:01:54.378
50,2025-06-20 13:01:54.471
51,2025-06-20 13:01:54.574
52,2025-06-20 13:01:54.659
53,2025-06-20 13:01:54.758
54,2025-06-20 13:01:54.855
55,2025-06-20 13:01:54.957
56,2025-06-20 13:01:55.062
57,2025-06-20 13:01:55.166
58,2025-06-20 13:01:55.271
59,2025-06-20 13:01:55.376
60,2025-06-20 13:01:55.471
61,2025-06-20 13:01:55.566
62,2025-06-20 13:01:55.659
63,2025-06-20 13:01:55.756
64,2025-06-20 13:01:55.859
65,2025-06-20 13:01:55.960
66,2025-06-20 13:01:56.058
67,2025-06-20 13:01:56.157
68,2025-06-20 13:01:56.259
69,2025-06-20 13:01:56.375
70,2025-06-20 13:01:56.462
71,2025-06-20 13:01:56.573
72,2025-06-20 13:01:56.673
73,2025-06-20 13:01:56.754
74,2025-06-20 13:01:56.860
75,2025-06-20 13:01:56.962
76,2025-06-20 13:01:57.061
77,2025-06-20 13:01:57.168
78,2025-06-20 13:01:57.272
79,2025-06-20 13:01:57.352
80,2025-06-20 13:01:57.456
81,2025-06-20 13:01:57.557
82,2025-06-20 13:01:57.657
83,2025-06-20 13:01:57.758
84,2025-06-20 13:01:57.856
85,2025-06-20 13:01:57.961
86,2025-06-20 13:01:58.076
87,2025-06-20 13:01:58.167
88,2025-06-20 13:01:58.267
89,2025-06-20 13:01:58.369
90,2025-06-20 13:01:58.455
91,2025-06-20 13:01:58.558
92,2025-06-20 13:01:58.667
93,2025-06-20 13:01:58.762
94,2025-06-20 13:01:58.866
95,2025-06-20 13:01:58.964
96,2025-06-20 13:01:59.068
97,2025-06-20 13:01:59.174
98,2025-06-20 13:01:59.254
99,2025-06-20 13:01:59.360
100,2025-06-20 13:01:59.465
101,2025-06-20 13:01:59.552
102,2025-06-20 13:01:59.664
103,2025-06-20 13:01:59.805
104,2025-06-20 13:01:59.858
105,2025-06-20 13:01:59.961
106,2025-06-20 13:02:00.081
107,2025-06-20 13:02:00.164
108,2025-06-20 13:02:00.266
109,2025-06-20 13:02:00.380
110,2025-06-20 13:02:00.479
111,2025-06-20 13:02:00.565
112,2025-06-20 13:02:00.654
113,2025-06-20 13:02:00.758
114,2025-06-20 13:02:00.857
115,2025-06-20 13:02:00.962
116,2025-06-20 13:02:01.060
117,2025-06-20 13:02:01.167
118,2025-06-20 13:02:01.259
119,2025-06-20 13:02:01.359
120,2025-06-20 13:02:01.462
121,2025-06-20 13:02:01.561
122,2025-06-20 13:02:01.670
123,2025-06-20 13:02:01.766
124,2025-06-20 13:02:01.867
125,2025-06-20 13:02:01.957
126,2025-06-20 13:02:02.062
127,2025-06-20 13:02:02.160
128,2025-06-20 13:02:02.277
129,2025-06-20 13:02:02.359
130,2025-06-20 13:02:02.461
131,2025-06-20 13:02:02.572
132,2025-06-20 13:02:02.673
133,2025-06-20 13:02:02.767
134,2025-06-20 13:02:02.860
135,2025-06-20 13:02:02.952
136,2025-06-20 13:02:03.062
137,2025-06-20 13:02:03.158
138,2025-06-20 13:02:03.256
139,2025-06-20 13:02:03.357
140,2025-06-20 13:02:03.456
141,2025-06-20 13:02:03.560
142,2025-06-20 13:02:03.671
143,2025-06-20 13:02:03.765
144,2025-06-20 13:02:03.869
145,2025-06-20 13:02:03.958
146,2025-06-20 13:02:04.060
147,2025-06-20 13:02:04.151
148,2025-06-20 13:02:04.255
149,2025-06-20 13:02:04.364
150,2025-06-20 13:02:04.459
151,2025-06-20 13:02:04.568
152,2025-06-20 13:02:04.666
153,2025-06-20 13:02:04.769
154,2025-06-20 13:02:04.873
155,2025-06-20 13:02:04.974
156,2025-06-20 13:02:05.062
157,2025-06-20 13:02:05.161
158,2025-06-20 13:02:05.254
159,2025-06-20 13:02:05.356
160,2025-06-20 13:02:05.459
161,2025-06-20 13:02:05.558
162,2025-06-20 13:02:05.659
163,2025-06-20 13:02:05.807
164,2025-06-20 13:02:05.856
165,2025-06-20 13:02:05.964
166,2025-06-20 13:02:06.063
167,2025-06-20 13:02:06.175
168,2025-06-20 13:02:06.269
169,2025-06-20 13:02:06.352
170,2025-06-20 13:02:06.457
171,2025-06-20 13:02:06.557
172,2025-06-20 13:02:06.659
173,2025-06-20 13:02:06.757
174,2025-06-20 13:02:06.862
175,2025-06-20 13:02:06.959
176,2025-06-20 13:02:07.076
177,2025-06-20 13:02:07.172
178,2025-06-20 13:02:07.268
179,2025-06-20 13:02:07.372
180,2025-06-20 13:02:07.461
181,2025-06-20 13:02:07.554
182,2025-06-20 13:02:07.653
183,2025-06-20 13:02:07.755
184,2025-06-20 13:02:07.860
185,2025-06-20 13:02:07.970
186,2025-06-20 13:02:08.072
187,2025-06-20 13:02:08.162
188,2025-06-20 13:02:08.264
189,2025-06-20 13:02:08.372
190,2025-06-20 13:02:08.466
191,2025-06-20 13:02:08.570
192,2025-06-20 13:02:08.663
193,2025-06-20 13:02:08.755
194,2025-06-20 13:02:08.857
195,2025-06-20 13:02:08.982
196,2025-06-20 13:02:09.058
197,2025-06-20 13:02:09.156
198,2025-06-20 13:02:09.258
199,2025-06-20 13:02:09.364
200,2025-06-20 13:02:09.469
201,2025-06-20 13:02:09.561
202,2025-06-20 13:02:09.662
203,2025-06-20 13:02:09.756
204,2025-06-20 13:02:09.856
205,2025-06-20 13:02:09.959
206,2025-06-20 13:02:10.072
207,2025-06-20 13:02:10.160
208,2025-06-20 13:02:10.267
209,2025-06-20 13:02:10.365
210,2025-06-20 13:02:10.467
211,2025-06-20 13:02:10.568
212,2025-06-20 13:02:10.671
213,2025-06-20 13:02:10.775
214,2025-06-20 13:02:10.868
215,2025-06-20 13:02:10.962
216,2025-06-20 13:02:11.061
217,2025-06-20 13:02:11.176
218,2025-06-20 13:02:11.261
219,2025-06-20 13:02:11.357
