frame,timestamp
1,2025-06-20 13:08:23.869
2,2025-06-20 13:08:23.970
3,2025-06-20 13:08:24.071
4,2025-06-20 13:08:24.169
5,2025-06-20 13:08:24.272
6,2025-06-20 13:08:24.363
7,2025-06-20 13:08:24.488
8,2025-06-20 13:08:24.560
9,2025-06-20 13:08:24.661
10,2025-06-20 13:08:24.759
11,2025-06-20 13:08:24.862
12,2025-06-20 13:08:24.967
13,2025-06-20 13:08:25.075
14,2025-06-20 13:08:25.161
15,2025-06-20 13:08:25.261
16,2025-06-20 13:08:25.358
17,2025-06-20 13:08:25.457
18,2025-06-20 13:08:25.560
19,2025-06-20 13:08:25.655
20,2025-06-20 13:08:25.757
21,2025-06-20 13:08:25.861
22,2025-06-20 13:08:25.960
23,2025-06-20 13:08:26.060
24,2025-06-20 13:08:26.177
25,2025-06-20 13:08:26.258
26,2025-06-20 13:08:26.360
27,2025-06-20 13:08:26.460
28,2025-06-20 13:08:26.558
29,2025-06-20 13:08:26.660
30,2025-06-20 13:08:26.760
31,2025-06-20 13:08:26.860
32,2025-06-20 13:08:26.960
33,2025-06-20 13:08:27.073
34,2025-06-20 13:08:27.159
35,2025-06-20 13:08:27.261
36,2025-06-20 13:08:27.359
37,2025-06-20 13:08:27.459
38,2025-06-20 13:08:27.560
39,2025-06-20 13:08:27.662
40,2025-06-20 13:08:27.759
41,2025-06-20 13:08:27.865
42,2025-06-20 13:08:27.976
43,2025-06-20 13:08:28.087
44,2025-06-20 13:08:28.166
45,2025-06-20 13:08:28.261
46,2025-06-20 13:08:28.360
47,2025-06-20 13:08:28.465
48,2025-06-20 13:08:28.565
49,2025-06-20 13:08:28.663
50,2025-06-20 13:08:28.775
51,2025-06-20 13:08:28.876
52,2025-06-20 13:08:28.972
53,2025-06-20 13:08:29.069
54,2025-06-20 13:08:29.163
55,2025-06-20 13:08:29.262
56,2025-06-20 13:08:29.357
57,2025-06-20 13:08:29.462
58,2025-06-20 13:08:29.560
59,2025-06-20 13:08:29.704
60,2025-06-20 13:08:29.760
61,2025-06-20 13:08:29.859
62,2025-06-20 13:08:29.962
63,2025-06-20 13:08:30.067
64,2025-06-20 13:08:30.152
65,2025-06-20 13:08:30.274
66,2025-06-20 13:08:30.359
67,2025-06-20 13:08:30.460
68,2025-06-20 13:08:30.560
69,2025-06-20 13:08:30.661
70,2025-06-20 13:08:30.766
71,2025-06-20 13:08:30.865
72,2025-06-20 13:08:30.971
73,2025-06-20 13:08:31.074
74,2025-06-20 13:08:31.161
75,2025-06-20 13:08:31.262
76,2025-06-20 13:08:31.361
77,2025-06-20 13:08:31.461
78,2025-06-20 13:08:31.561
79,2025-06-20 13:08:31.662
80,2025-06-20 13:08:31.763
81,2025-06-20 13:08:31.859
82,2025-06-20 13:08:31.965
83,2025-06-20 13:08:32.086
84,2025-06-20 13:08:32.175
85,2025-06-20 13:08:32.265
86,2025-06-20 13:08:32.362
87,2025-06-20 13:08:32.466
88,2025-06-20 13:08:32.572
89,2025-06-20 13:08:32.675
90,2025-06-20 13:08:32.773
91,2025-06-20 13:08:32.859
92,2025-06-20 13:08:32.961
93,2025-06-20 13:08:33.062
94,2025-06-20 13:08:33.166
95,2025-06-20 13:08:33.277
96,2025-06-20 13:08:33.375
97,2025-06-20 13:08:33.458
98,2025-06-20 13:08:33.565
99,2025-06-20 13:08:33.665
100,2025-06-20 13:08:33.759
101,2025-06-20 13:08:33.858
102,2025-06-20 13:08:33.959
103,2025-06-20 13:08:34.060
104,2025-06-20 13:08:34.164
105,2025-06-20 13:08:34.261
106,2025-06-20 13:08:34.376
107,2025-06-20 13:08:34.477
108,2025-06-20 13:08:34.558
109,2025-06-20 13:08:34.658
110,2025-06-20 13:08:34.756
111,2025-06-20 13:08:34.859
112,2025-06-20 13:08:34.961
113,2025-06-20 13:08:35.066
114,2025-06-20 13:08:35.175
115,2025-06-20 13:08:35.281
116,2025-06-20 13:08:35.363
117,2025-06-20 13:08:35.487
118,2025-06-20 13:08:35.571
119,2025-06-20 13:08:35.664
120,2025-06-20 13:08:35.762
121,2025-06-20 13:08:35.870
122,2025-06-20 13:08:35.962
123,2025-06-20 13:08:36.072
124,2025-06-20 13:08:36.167
125,2025-06-20 13:08:36.262
126,2025-06-20 13:08:36.362
127,2025-06-20 13:08:36.460
128,2025-06-20 13:08:36.560
129,2025-06-20 13:08:36.660
130,2025-06-20 13:08:36.762
131,2025-06-20 13:08:36.867
132,2025-06-20 13:08:36.968
133,2025-06-20 13:08:37.075
134,2025-06-20 13:08:37.167
135,2025-06-20 13:08:37.260
136,2025-06-20 13:08:37.363
137,2025-06-20 13:08:37.460
138,2025-06-20 13:08:37.560
139,2025-06-20 13:08:37.666
140,2025-06-20 13:08:37.772
141,2025-06-20 13:08:37.884
142,2025-06-20 13:08:37.980
143,2025-06-20 13:08:38.101
144,2025-06-20 13:08:38.163
145,2025-06-20 13:08:38.261
146,2025-06-20 13:08:38.357
147,2025-06-20 13:08:38.461
148,2025-06-20 13:08:38.566
149,2025-06-20 13:08:38.665
150,2025-06-20 13:08:38.767
151,2025-06-20 13:08:38.874
152,2025-06-20 13:08:38.962
153,2025-06-20 13:08:39.070
154,2025-06-20 13:08:39.164
155,2025-06-20 13:08:39.264
156,2025-06-20 13:08:39.366
157,2025-06-20 13:08:39.460
158,2025-06-20 13:08:39.567
159,2025-06-20 13:08:39.666
160,2025-06-20 13:08:39.775
161,2025-06-20 13:08:39.880
162,2025-06-20 13:08:39.975
163,2025-06-20 13:08:40.060
164,2025-06-20 13:08:40.164
165,2025-06-20 13:08:40.269
166,2025-06-20 13:08:40.368
167,2025-06-20 13:08:40.457
168,2025-06-20 13:08:40.561
169,2025-06-20 13:08:40.665
170,2025-06-20 13:08:40.762
171,2025-06-20 13:08:40.871
172,2025-06-20 13:08:40.968
173,2025-06-20 13:08:41.067
174,2025-06-20 13:08:41.163
175,2025-06-20 13:08:41.261
176,2025-06-20 13:08:41.358
177,2025-06-20 13:08:41.487
178,2025-06-20 13:08:41.560
179,2025-06-20 13:08:41.661
180,2025-06-20 13:08:41.760
181,2025-06-20 13:08:41.859
182,2025-06-20 13:08:41.961
183,2025-06-20 13:08:42.060
184,2025-06-20 13:08:42.167
185,2025-06-20 13:08:42.270
186,2025-06-20 13:08:42.370
187,2025-06-20 13:08:42.470
188,2025-06-20 13:08:42.572
189,2025-06-20 13:08:42.667
190,2025-06-20 13:08:42.773
191,2025-06-20 13:08:42.877
192,2025-06-20 13:08:42.961
193,2025-06-20 13:08:43.062
194,2025-06-20 13:08:43.159
195,2025-06-20 13:08:43.267
196,2025-06-20 13:08:43.362
197,2025-06-20 13:08:43.467
198,2025-06-20 13:08:43.564
199,2025-06-20 13:08:43.665
200,2025-06-20 13:08:43.774
201,2025-06-20 13:08:43.868
202,2025-06-20 13:08:43.984
203,2025-06-20 13:08:44.061
204,2025-06-20 13:08:44.163
205,2025-06-20 13:08:44.266
206,2025-06-20 13:08:44.361
207,2025-06-20 13:08:44.463
208,2025-06-20 13:08:44.564
209,2025-06-20 13:08:44.661
210,2025-06-20 13:08:44.763
211,2025-06-20 13:08:44.864
212,2025-06-20 13:08:44.967
213,2025-06-20 13:08:45.069
214,2025-06-20 13:08:45.178
215,2025-06-20 13:08:45.265
216,2025-06-20 13:08:45.360
217,2025-06-20 13:08:45.461
218,2025-06-20 13:08:45.583
219,2025-06-20 13:08:45.662
220,2025-06-20 13:08:45.762
221,2025-06-20 13:08:45.862
222,2025-06-20 13:08:45.963
223,2025-06-20 13:08:46.062
224,2025-06-20 13:08:46.156
225,2025-06-20 13:08:46.265
226,2025-06-20 13:08:46.377
227,2025-06-20 13:08:46.461
228,2025-06-20 13:08:46.563
229,2025-06-20 13:08:46.662
230,2025-06-20 13:08:46.767
231,2025-06-20 13:08:46.877
232,2025-06-20 13:08:46.972
233,2025-06-20 13:08:47.071
234,2025-06-20 13:08:47.177
235,2025-06-20 13:08:47.258
236,2025-06-20 13:08:47.359
237,2025-06-20 13:08:47.466
238,2025-06-20 13:08:47.564
239,2025-06-20 13:08:47.662
240,2025-06-20 13:08:47.762
241,2025-06-20 13:08:47.861
242,2025-06-20 13:08:47.969
243,2025-06-20 13:08:48.070
244,2025-06-20 13:08:48.167
245,2025-06-20 13:08:48.287
246,2025-06-20 13:08:48.358
247,2025-06-20 13:08:48.502
248,2025-06-20 13:08:48.563
249,2025-06-20 13:08:48.666
250,2025-06-20 13:08:48.764
251,2025-06-20 13:08:48.864
252,2025-06-20 13:08:48.965
253,2025-06-20 13:08:49.073
254,2025-06-20 13:08:49.168
255,2025-06-20 13:08:49.274
256,2025-06-20 13:08:49.365
257,2025-06-20 13:08:49.473
258,2025-06-20 13:08:49.581
259,2025-06-20 13:08:49.681
260,2025-06-20 13:08:49.774
261,2025-06-20 13:08:49.861
262,2025-06-20 13:08:49.961
263,2025-06-20 13:08:50.062
264,2025-06-20 13:08:50.163
265,2025-06-20 13:08:50.263
266,2025-06-20 13:08:50.377
267,2025-06-20 13:08:50.470
268,2025-06-20 13:08:50.558
269,2025-06-20 13:08:50.659
270,2025-06-20 13:08:50.760
271,2025-06-20 13:08:50.862
272,2025-06-20 13:08:50.964
273,2025-06-20 13:08:51.062
274,2025-06-20 13:08:51.164
275,2025-06-20 13:08:51.264
276,2025-06-20 13:08:51.368
277,2025-06-20 13:08:51.471
278,2025-06-20 13:08:51.569
279,2025-06-20 13:08:51.669
280,2025-06-20 13:08:51.770
281,2025-06-20 13:08:51.877
282,2025-06-20 13:08:51.964
283,2025-06-20 13:08:52.063
284,2025-06-20 13:08:52.168
285,2025-06-20 13:08:52.272
286,2025-06-20 13:08:52.373
287,2025-06-20 13:08:52.477
